perm_acc,sub_folder,processing_time
0.895166667,permute248_WINS_BINS_circular,1766127436
0.895166667,permute249_WINS_BINS_circular,1766127436
0.888333333,permute24_WINS_BINS_circular,1766127435
0.867833333,permute250_WINS_BINS_circular,1766127436
0.8795,permute251_WINS_BINS_circular,1766127437
0.855666667,permute252_WINS_BINS_circular,1766127437
0.843,permute253_WINS_BINS_circular,1766127437
0.872,permute254_WINS_BINS_circular,1766127436
0.840333333,permute255_WINS_BINS_circular,1766127436
0.845666667,permute256_WINS_BINS_circular,1766127437
0.843666667,permute257_WINS_BINS_circular,1766127437
0.908333333,permute258_WINS_BINS_circular,1766127437
0.900166667,permute259_WINS_BINS_circular,1766127437
0.905,permute25_WINS_BINS_circular,1766127436
0.900666667,permute260_WINS_BINS_circular,1766127438
0.878,permute261_WINS_BINS_circular,1766127438
0.877833333,permute262_WINS_BINS_circular,1766127438
0.879833333,permute263_WINS_BINS_circular,1766127441
0.881,permute264_WINS_BINS_circular,1766127440
0.865833333,permute265_WINS_BINS_circular,1766127440
0.8575,permute266_WINS_BINS_circular,1766127440
0.8595,permute267_WINS_BINS_circular,1766127440
0.856666667,permute268_WINS_BINS_circular,1766127441
0.877333333,permute269_WINS_BINS_circular,1766127441
0.862333333,permute26_WINS_BINS_circular,1766127438
0.859833333,permute270_WINS_BINS_circular,1766127441
0.891833333,permute271_WINS_BINS_circular,1766127444
0.8725,permute272_WINS_BINS_circular,1766127444
0.834666667,permute273_WINS_BINS_circular,1766127444
0.858166667,permute274_WINS_BINS_circular,1766127444
0.858666667,permute275_WINS_BINS_circular,1766127443
0.868333333,permute276_WINS_BINS_circular,1766127443
0.867166667,permute277_WINS_BINS_circular,1766127444
0.874666667,permute278_WINS_BINS_circular,1766127444
0.8755,permute279_WINS_BINS_circular,1766127444
0.845166667,permute27_WINS_BINS_circular,1766127441
0.844,permute280_WINS_BINS_circular,1766127445
0.8405,permute281_WINS_BINS_circular,1766127445
0.856833333,permute282_WINS_BINS_circular,1766127445
0.8565,permute283_WINS_BINS_circular,1766127445
0.873333333,permute284_WINS_BINS_circular,1766127445
0.873,permute285_WINS_BINS_circular,1766127445
0.880333333,permute286_WINS_BINS_circular,1766127447
0.838,permute287_WINS_BINS_circular,1766127446
0.890166667,permute288_WINS_BINS_circular,1766127446
0.877666667,permute289_WINS_BINS_circular,1766127447
0.859666667,permute28_WINS_BINS_circular,1766127444
0.880166667,permute290_WINS_BINS_circular,1766127447
0.877,permute291_WINS_BINS_circular,1766127448
0.837,permute292_WINS_BINS_circular,1766127449
0.869833333,permute293_WINS_BINS_circular,1766127449
0.842666667,permute294_WINS_BINS_circular,1766127449
0.856666667,permute295_WINS_BINS_circular,1766127450
0.816,permute296_WINS_BINS_circular,1766127450
0.881166667,permute297_WINS_BINS_circular,1766127450
0.880666667,permute298_WINS_BINS_circular,1766127450
0.883166667,permute299_WINS_BINS_circular,1766127450
0.858166667,permute29_WINS_BINS_circular,1766127447
0.855833333,permute2_WINS_BINS_circular,1766127420
0.883,permute300_WINS_BINS_circular,1766127451
0.850666667,permute301_WINS_BINS_circular,1766127451
0.8495,permute302_WINS_BINS_circular,1766127451
0.851833333,permute303_WINS_BINS_circular,1766127452
0.852166667,permute304_WINS_BINS_circular,1766127451
0.902666667,permute305_WINS_BINS_circular,1766127451
0.868,permute306_WINS_BINS_circular,1766127451
0.901333333,permute307_WINS_BINS_circular,1766127452
0.8705,permute308_WINS_BINS_circular,1766127452
0.856833333,permute309_WINS_BINS_circular,1766127452
0.865833333,permute30_WINS_BINS_circular,1766127451
0.870333333,permute310_WINS_BINS_circular,1766127454
0.869,permute311_WINS_BINS_circular,1766127452
0.8575,permute312_WINS_BINS_circular,1766127452
0.856333333,permute313_WINS_BINS_circular,1766127452
0.824333333,permute314_WINS_BINS_circular,1766127452
0.825666667,permute315_WINS_BINS_circular,1766127452
0.831666667,permute316_WINS_BINS_circular,1766127453
0.881166667,permute317_WINS_BINS_circular,1766127452
0.853666667,permute318_WINS_BINS_circular,1766127452
0.87,permute319_WINS_BINS_circular,1766127454
0.846666667,permute31_WINS_BINS_circular,1766127452
