sessID,Role(A=1),Leader(L=1),R_IN_OUT,R_diff_IN,R_diff_OUT,VIF_diff,VIF_IN,VIF_OUT
56,1,0,0.282192727,-0.148489299,0.057866087,1.170198527,1.234174688,1.106666081
56,2,1,0.282192727,0.355288873,0.175387786,1.152555374,1.213756513,1.09420243
56,2,0,0.282192727,-0.178882453,-0.087174698,1.059587566,1.132407201,1.091883041
61,1,1,0.260604267,0.253882705,-0.063453078,1.089895515,1.164600644,1.093939166
61,1,0,0.260604267,-0.02764813,-0.028501652,1.084579942,1.1353865,1.123757034
61,2,1,0.260604267,0.138604428,0.303235005,1.10590097,1.077381682,1.163686591
61,2,0,0.260604267,-0.119076562,-0.141658819,1.419044605,1.485830482,1.09997834
65,1,1,-0.343754696,-0.269840469,-0.038516144,1.101753913,1.247537608,1.158418061
65,1,0,-0.343754696,0.188160228,0.02481247,1.061666306,1.203156222,1.146392133
65,2,1,-0.343754696,-0.357361743,-0.125007053,1.24590371,1.390778835,1.232424876
65,2,0,-0.343754696,0.052413467,0.018705314,1.543335419,1.702393096,1.349639543
70,1,1,0.341135015,-0.085204961,-0.40514992,1.200950342,1.136020866,1.349247718
70,1,0,0.341135015,0.029175961,0.134726538,1.454003975,1.135037133,1.609277882
70,2,1,0.341135015,-0.298831518,-0.29484214,1.151293003,1.189652473,1.186566658
70,2,0,0.341135015,0.164426231,0.187183349,1.250557312,1.365804463,1.178976977
71,1,1,0.218081585,0.69303738,0.286539617,1.998200381,1.925724897,1.090318191
71,1,0,0.218081585,-0.564313727,-0.252314834,1.813923207,1.698764268,1.124063888
71,2,1,0.218081585,-0.367808455,-0.357360853,1.275396229,1.16807252,1.157927257
71,2,0,0.218081585,0.152928864,0.140628942,1.103269004,1.098637182,1.114717287
75,1,1,-0.465391262,-0.381764697,0.293578196,1.194590832,1.393433698,1.302619037
75,1,0,-0.465391262,0.18313713,-0.140880049,1.084735991,1.32705221,1.288073246
75,2,1,-0.465391262,-0.737607333,0.437120715,2.248738467,2.321976468,1.308737761
75,2,0,-0.465391262,0.100957116,-0.095587168,2.423181472,2.921423665,1.351073298
76,1,1,0.128426755,-0.19201145,-0.339490983,1.159621351,1.043175752,1.135597876
76,1,0,0.128426755,0.051714439,0.110022607,1.087758664,1.082720208,1.0331464
76,2,1,0.128426755,0.75184413,-0.096575819,2.520131881,2.538495392,1.113950824
76,2,0,0.128426755,-0.379288502,0.038526041,1.405657873,1.330792158,1.150184386
80,1,1,0.053091077,0.269076274,-0.025240287,1.079877163,1.082239671,1.004523264
80,1,0,0.053091077,-0.151098201,0.023953492,1.165728959,1.049319384,1.117696198
80,2,1,0.053091077,-0.2255539,-0.114301685,1.065388121,1.054441072,1.014045219
80,2,0,0.053091077,-0.027599187,-0.016218646,1.865992849,1.674644255,1.162252334
84,1,1,0.380052954,0.396336046,0.254554319,1.204392957,1.316507489,1.186596477
84,1,0,0.380052954,-0.238199938,-0.164685148,1.105820907,1.217086832,1.205878977
84,2,1,0.380052954,-0.421554997,-0.198141505,1.218605723,1.3684178,1.171220344
84,2,0,0.380052954,0.239964246,0.114364246,1.090046832,1.231712404,1.184032277
87,1,1,0.377010348,0.489420125,0.273247374,1.331043439,1.435732696,1.1799269
87,1,0,0.377010348,-0.396461419,-0.256624231,1.266607361,1.327693612,1.216015767
87,2,1,0.377010348,0.877596172,0.265811998,4.446574358,4.817081707,1.19125494
87,2,0,0.377010348,-0.825578772,-0.250600444,7.766458192,7.845257905,1.20170628
91,1,1,0.142111739,0.493741138,-0.473441843,2.199645568,1.74177772,1.697701638
91,1,0,0.142111739,-0.48678698,0.432014893,2.112035514,1.763097443,1.560958515
91,2,1,0.142111739,-0.098276502,-0.189031234,1.042685167,1.026150984,1.053898907
91,2,0,0.142111739,0.02232707,0.064538057,1.013826256,1.027590752,1.026259456
92,1,1,-0.124868783,-0.491956016,-0.352452539,1.712424554,1.523456451,1.318541304
92,1,0,-0.124868783,0.200292855,0.115575253,1.196442153,1.125562666,1.098045139
92,2,1,-0.124868783,-0.028204155,-0.078148693,1.007628956,1.017337692,1.022774734
92,2,0,-0.124868783,0.015277289,0.042042685,1.1313368,1.057334567,1.122265439
